Loai_San,Cap_Do_Ben,Chieu_dai_L(m),Chieu_ron_W(m),Be_day_h(m),Tai_trong_ULS(kN/m2),Phan_tu_so,Momen_M11(kNm/m),Momen_M22(kNm/m)
San_console_Cantilever,C40/50,4.14,1.68,0.1,8.0,1117,-11.29,-1.129
San_o_co_Waffle_Slab,C35/45,11.5,8.25,0.47,11.71,1118,38.257,74.335
Ban_ke_4_canh_2_phuong,C35/45,7.92,5.49,0.17,10.36,1119,14.051,22.745
Ban_dam_1_phuong,C30/37,9.38,2.92,0.12,8.67,1120,7.392,1.478
San_phang_Flat_Slab,C30/37,10.95,9.75,0.21,11.71,1121,93.764,55.659
San_o_co_Waffle_Slab,C25/30,11.1,9.56,0.41,10.7,1122,46.94,63.281
Ban_dam_1_phuong,C30/37,10.57,3.33,0.13,9.01,1123,9.991,1.998
San_o_co_Waffle_Slab,C35/45,14.61,11.02,0.48,12.05,1124,70.241,123.461
San_console_Cantilever,C25/30,6.61,1.31,0.12,8.67,1125,-7.439,-0.744
San_phang_Flat_Slab,C35/45,8.82,6.43,0.27,13.73,1126,58.4,28.383
Ban_ke_4_canh_2_phuong,C20/25,6.82,4.71,0.2,11.37,1127,11.35,18.51
San_console_Cantilever,C30/37,5.39,2.1,0.13,9.01,1128,-19.867,-1.987
Ban_ke_4_canh_2_phuong,C35/45,6.5,5.17,0.19,11.03,1129,13.267,16.311
San_phang_Flat_Slab,C40/50,9.5,9.26,0.26,13.4,1130,88.41,57.451
Ban_dam_1_phuong,C40/50,10.09,3.33,0.1,8.0,1131,8.871,1.774
Ban_ke_4_canh_2_phuong,C20/25,5.82,4.59,0.18,10.7,1132,10.144,12.685
Ban_ke_4_canh_2_phuong,C25/30,6.94,5.02,0.16,10.02,1133,11.363,16.891
Ban_dam_1_phuong,C35/45,7.32,2.21,0.12,8.67,1134,4.235,0.847
San_phang_Flat_Slab,C40/50,12.21,9.8,0.29,14.41,1135,129.32,69.197
Ban_dam_1_phuong,C25/30,6.51,2.51,0.14,9.35,1136,5.891,1.178
Ban_dam_1_phuong,C30/37,5.51,2.08,0.11,8.33,1137,3.604,0.721
San_o_co_Waffle_Slab,C25/30,11.28,9.53,0.45,11.37,1138,49.566,69.442
Ban_ke_4_canh_2_phuong,C30/37,5.84,4.19,0.19,11.03,1139,8.714,13.166
San_console_Cantilever,C25/30,4.66,2.48,0.14,9.35,1140,-28.753,-2.875
Ban_dam_1_phuong,C35/45,6.31,2.56,0.11,8.33,1141,5.459,1.092
San_console_Cantilever,C40/50,6.42,1.83,0.13,9.01,1142,-15.087,-1.509
Ban_ke_4_canh_2_phuong,C20/25,9.06,5.23,0.15,9.68,1143,11.915,27.81
Ban_ke_4_canh_2_phuong,C35/45,4.87,3.98,0.15,9.68,1144,6.9,8.035
San_o_co_Waffle_Slab,C35/45,11.05,10.09,0.5,12.38,1145,60.498,72.558
San_phang_Flat_Slab,C40/50,8.43,7.78,0.22,12.05,1146,59.273,36.468
Ban_dam_1_phuong,C30/37,8.08,2.5,0.11,8.33,1147,5.206,1.041
San_o_co_Waffle_Slab,C35/45,8.71,8.01,0.44,11.37,1148,35.016,41.404
San_o_co_Waffle_Slab,C20/25,9.7,9.01,0.45,11.37,1149,44.305,51.351
San_o_co_Waffle_Slab,C25/30,9.75,9.1,0.41,10.7,1150,42.531,48.824
Ban_dam_1_phuong,C40/50,9.9,3.2,0.13,9.01,1151,9.226,1.845
San_console_Cantilever,C40/50,5.52,1.28,0.11,8.33,1152,-6.824,-0.682
Ban_dam_1_phuong,C25/30,9.54,3.79,0.14,9.35,1153,13.43,2.686
Ban_dam_1_phuong,C25/30,8.36,3.08,0.11,8.33,1154,7.902,1.58
San_o_co_Waffle_Slab,C35/45,10.71,9.02,0.47,11.71,1155,45.731,64.473
San_console_Cantilever,C30/37,6.92,1.67,0.14,9.35,1156,-13.038,-1.304
Ban_dam_1_phuong,C35/45,9.71,3.41,0.12,8.67,1157,10.082,2.016
San_o_co_Waffle_Slab,C40/50,11.16,10.63,0.37,10.36,1158,56.191,61.934
Ban_dam_1_phuong,C35/45,7.97,2.41,0.13,9.01,1159,5.233,1.047
San_phang_Flat_Slab,C20/25,9.86,7.82,0.21,11.71,1160,67.718,35.805
Ban_ke_4_canh_2_phuong,C20/25,9.88,5.5,0.17,10.36,1161,14.103,35.395
Ban_dam_1_phuong,C25/30,10.92,3.42,0.14,9.35,1162,10.936,2.187
Ban_dam_1_phuong,C30/37,12.56,3.84,0.13,9.01,1163,13.286,2.657
Ban_dam_1_phuong,C20/25,7.14,2.26,0.15,9.68,1164,4.944,0.989
San_o_co_Waffle_Slab,C30/37,12.48,8.83,0.4,10.7,1165,40.045,79.993
Ban_ke_4_canh_2_phuong,C30/37,5.31,3.81,0.15,9.68,1166,6.323,9.553
Ban_dam_1_phuong,C35/45,12.29,3.77,0.1,8.0,1167,11.37,2.274
Ban_dam_1_phuong,C20/25,8.91,3.33,0.14,9.35,1168,10.368,2.074
San_phang_Flat_Slab,C40/50,10.82,9.54,0.22,12.05,1169,93.288,54.834
San_o_co_Waffle_Slab,C35/45,11.1,9.68,0.43,11.03,1170,49.61,65.232
Ban_dam_1_phuong,C40/50,9.79,3.72,0.13,9.01,1171,12.468,2.494
San_o_co_Waffle_Slab,C40/50,12.77,10.29,0.48,12.05,1172,61.243,94.321
San_phang_Flat_Slab,C35/45,8.07,6.99,0.23,12.38,1173,52.376,30.244
Ban_dam_1_phuong,C30/37,5.99,2.58,0.14,9.35,1174,6.224,1.245
Ban_ke_4_canh_2_phuong,C35/45,10.3,5.17,0.19,11.03,1175,13.267,40.956
Ban_dam_1_phuong,C20/25,10.47,3.06,0.1,8.0,1176,7.491,1.498
San_console_Cantilever,C40/50,7.58,1.89,0.11,8.33,1177,-14.878,-1.488
San_phang_Flat_Slab,C20/25,9.96,9.12,0.27,13.73,1178,93.538,57.099
San_phang_Flat_Slab,C25/30,9.2,6.2,0.28,14.07,1179,60.191,27.043
Ban_dam_1_phuong,C35/45,8.31,3.61,0.14,9.35,1180,12.185,2.437
Ban_ke_4_canh_2_phuong,C20/25,6.63,3.65,0.17,10.36,1181,6.211,15.939
San_phang_Flat_Slab,C20/25,7.59,6.69,0.3,14.74,1182,56.134,32.985
Ban_ke_4_canh_2_phuong,C35/45,5.98,4.3,0.14,9.35,1183,7.78,11.703
Ban_ke_4_canh_2_phuong,C40/50,9.48,5.25,0.12,8.67,1184,10.754,27.271
San_o_co_Waffle_Slab,C20/25,11.23,11.12,0.49,12.05,1185,71.522,72.944
Ban_ke_4_canh_2_phuong,C40/50,9.42,5.65,0.2,11.37,1186,16.333,35.313
San_o_co_Waffle_Slab,C30/37,11.9,10.71,0.46,11.71,1187,64.473,79.596
San_o_co_Waffle_Slab,C35/45,9.85,9.11,0.39,10.7,1188,42.625,49.831
San_phang_Flat_Slab,C30/37,10.53,7.66,0.27,13.73,1189,83.059,40.281
San_o_co_Waffle_Slab,C20/25,10.28,8.1,0.37,10.36,1190,32.627,52.552
San_console_Cantilever,C20/25,3.35,1.84,0.13,9.01,1191,-15.252,-1.525
San_console_Cantilever,C40/50,3.49,1.49,0.11,8.33,1192,-9.247,-0.925
San_phang_Flat_Slab,C35/45,11.44,8.87,0.23,12.38,1193,94.217,48.701
Ban_ke_4_canh_2_phuong,C25/30,7.51,4.84,0.2,11.37,1194,11.986,22.444
San_phang_Flat_Slab,C40/50,13.67,9.12,0.23,12.38,1195,115.756,51.485
Ban_dam_1_phuong,C35/45,6.55,2.16,0.11,8.33,1196,3.886,0.777
Ban_dam_1_phuong,C35/45,7.72,3.66,0.14,9.35,1197,12.525,2.505
San_o_co_Waffle_Slab,C20/25,12.4,9.92,0.35,10.02,1198,47.33,73.952
San_console_Cantilever,C40/50,6.97,1.88,0.12,8.67,1199,-15.322,-1.532
Ban_ke_4_canh_2_phuong,C25/30,7.84,4.38,0.18,10.7,1200,9.237,23.019
Ban_dam_1_phuong,C25/30,7.85,3.66,0.11,8.33,1201,11.159,2.232
Ban_ke_4_canh_2_phuong,C20/25,10.92,5.73,0.18,10.7,1202,15.809,44.658
San_o_co_Waffle_Slab,C20/25,8.51,8.26,0.41,10.7,1203,35.042,37.195
San_phang_Flat_Slab,C30/37,10.85,8.85,0.24,12.72,1204,91.605,49.813
San_o_co_Waffle_Slab,C25/30,12.37,8.82,0.42,11.03,1205,41.186,81.013
Ban_ke_4_canh_2_phuong,C35/45,9.65,5.65,0.2,11.37,1206,16.333,37.058
San_o_co_Waffle_Slab,C35/45,11.67,9.93,0.37,10.36,1207,49.034,67.724
San_console_Cantilever,C35/45,5.35,1.21,0.13,9.01,1208,-6.596,-0.66
San_o_co_Waffle_Slab,C30/37,12.37,11.78,0.49,12.05,1209,80.264,88.505
San_console_Cantilever,C25/30,5.81,1.46,0.13,9.01,1210,-9.603,-0.96
San_phang_Flat_Slab,C35/45,10.49,8.49,0.21,11.71,1211,78.217,42.203
San_console_Cantilever,C20/25,5.52,2.34,0.13,9.01,1212,-24.668,-2.467
San_phang_Flat_Slab,C30/37,10.35,7.66,0.23,12.38,1213,73.612,36.32
San_phang_Flat_Slab,C35/45,12.89,9.59,0.28,14.07,1214,130.445,64.7
Ban_dam_1_phuong,C35/45,6.71,3.05,0.14,9.35,1215,8.698,1.74
San_o_co_Waffle_Slab,C20/25,11.14,8.86,0.47,11.71,1216,44.123,69.754
Ban_ke_4_canh_2_phuong,C20/25,3.89,3.43,0.15,9.68,1217,5.125,5.127
San_console_Cantilever,C20/25,3.36,1.49,0.14,9.35,1218,-10.379,-1.038
San_console_Cantilever,C35/45,3.07,2.41,0.15,9.68,1219,-28.111,-2.811
San_phang_Flat_Slab,C30/37,9.65,6.56,0.25,13.06,1220,62.006,28.101
San_phang_Flat_Slab,C20/25,6.52,6.19,0.3,14.74,1221,44.617,28.239
San_phang_Flat_Slab,C40/50,6.19,6.01,0.24,12.72,1222,35.491,22.972
San_console_Cantilever,C40/50,6.82,2.31,0.12,8.67,1223,-23.132,-2.313
San_o_co_Waffle_Slab,C25/30,13.06,11.89,0.35,10.02,1224,67.994,82.034
Ban_ke_4_canh_2_phuong,C25/30,4.81,3.25,0.14,9.35,1225,4.444,7.571
San_o_co_Waffle_Slab,C20/25,11.84,8.54,0.37,10.36,1226,36.267,69.711
San_o_co_Waffle_Slab,C40/50,16.66,11.68,0.37,10.36,1227,67.84,138.023
San_o_co_Waffle_Slab,C20/25,16.14,11.81,0.35,10.02,1228,67.082,125.29
Ban_ke_4_canh_2_phuong,C25/30,6.43,5.62,0.16,10.02,1229,14.241,14.5
Ban_dam_1_phuong,C40/50,7.16,2.79,0.14,9.35,1230,7.278,1.456
Ban_dam_1_phuong,C20/25,5.49,2.3,0.13,9.01,1231,4.766,0.953
San_phang_Flat_Slab,C20/25,11.11,9.98,0.27,13.73,1232,114.176,68.376
San_console_Cantilever,C40/50,5.59,1.29,0.13,9.01,1233,-7.497,-0.75
Ban_ke_4_canh_2_phuong,C20/25,7.5,4.49,0.18,10.7,1234,9.707,21.066
San_o_co_Waffle_Slab,C30/37,17.7,11.99,0.46,11.71,1235,80.805,176.094
Ban_dam_1_phuong,C20/25,10.83,3.27,0.12,8.67,1236,9.271,1.854
San_o_co_Waffle_Slab,C40/50,15.97,10.72,0.4,10.7,1237,59.022,130.989
San_o_co_Waffle_Slab,C35/45,9.8,8.06,0.41,10.7,1238,33.365,49.326
San_phang_Flat_Slab,C20/25,9.71,6.73,0.28,14.07,1239,68.959,31.864
San_console_Cantilever,C30/37,3.01,2.44,0.1,8.0,1240,-23.814,-2.381
Ban_dam_1_phuong,C30/37,6.97,2.03,0.14,9.35,1241,3.853,0.771
Ban_ke_4_canh_2_phuong,C30/37,6.03,3.56,0.16,10.02,1242,5.715,12.752
Ban_dam_1_phuong,C40/50,5.97,2.36,0.1,8.0,1243,4.456,0.891
San_o_co_Waffle_Slab,C40/50,10.31,9.32,0.49,12.05,1244,50.241,61.482
San_o_co_Waffle_Slab,C35/45,11.95,11.85,0.48,12.05,1245,81.22,82.597
San_console_Cantilever,C35/45,3.33,1.68,0.13,9.01,1246,-12.715,-1.272
Ban_dam_1_phuong,C25/30,11.45,3.87,0.12,8.67,1247,12.985,2.597
San_o_co_Waffle_Slab,C40/50,10.17,8.39,0.46,11.71,1248,39.566,58.135
San_o_co_Waffle_Slab,C20/25,10.23,8.11,0.4,10.7,1249,33.781,53.75
Ban_ke_4_canh_2_phuong,C20/25,4.77,4.38,0.16,10.02,1250,8.65,7.979
San_phang_Flat_Slab,C30/37,12.81,9.67,0.22,12.05,1251,111.95,56.339
San_o_co_Waffle_Slab,C25/30,11.32,10.88,0.47,11.71,1252,66.536,72.026
Ban_dam_1_phuong,C20/25,6.43,2.06,0.14,9.35,1253,3.968,0.794
San_console_Cantilever,C25/30,7.48,2.08,0.14,9.35,1254,-20.226,-2.023
San_o_co_Waffle_Slab,C30/37,14.64,10.76,0.42,11.03,1255,61.297,113.475
San_o_co_Waffle_Slab,C25/30,13.18,10.55,0.36,10.02,1256,53.532,83.549
Ban_ke_4_canh_2_phuong,C20/25,7.71,5.45,0.16,10.02,1257,13.393,20.847
Ban_ke_4_canh_2_phuong,C35/45,5.4,4.31,0.17,10.36,1258,8.66,10.573
Ban_ke_4_canh_2_phuong,C25/30,9.5,5.45,0.18,10.7,1259,14.302,33.799
San_phang_Flat_Slab,C20/25,13.53,9.78,0.24,12.72,1260,126.237,60.832
Ban_ke_4_canh_2_phuong,C40/50,8.07,5.01,0.16,10.02,1261,11.318,22.839
Ban_dam_1_phuong,C40/50,13.16,3.84,0.15,9.68,1262,14.274,2.855
San_phang_Flat_Slab,C35/45,9.04,7.06,0.2,11.37,1263,54.425,28.336
Ban_ke_4_canh_2_phuong,C20/25,7.98,4.55,0.17,10.36,1264,9.652,23.091
Ban_dam_1_phuong,C30/37,6.05,2.31,0.13,9.01,1265,4.808,0.962
San_console_Cantilever,C40/50,7.03,2.36,0.1,8.0,1266,-22.278,-2.228
Ban_ke_4_canh_2_phuong,C20/25,6.58,4.78,0.12,8.67,1267,8.914,13.138
Ban_ke_4_canh_2_phuong,C35/45,3.72,3.44,0.12,8.67,1268,4.617,4.199
Ban_ke_4_canh_2_phuong,C25/30,4.68,3.18,0.19,11.03,1269,5.019,8.455
San_o_co_Waffle_Slab,C35/45,16.54,11.92,0.37,10.36,1270,70.657,136.042
San_phang_Flat_Slab,C30/37,10.98,8.08,0.23,12.38,1271,82.375,40.412
Ban_dam_1_phuong,C40/50,10.31,3.56,0.11,8.33,1272,10.557,2.111
Ban_ke_4_canh_2_phuong,C20/25,6.07,3.77,0.18,10.7,1273,6.844,13.798
Ban_dam_1_phuong,C20/25,7.97,2.87,0.11,8.33,1274,6.861,1.372
San_console_Cantilever,C40/50,7.0,2.4,0.11,8.33,1275,-23.99,-2.399
Ban_dam_1_phuong,C20/25,6.38,2.42,0.14,9.35,1276,5.476,1.095
Ban_dam_1_phuong,C40/50,9.14,3.64,0.13,9.01,1277,11.938,2.388
Ban_ke_4_canh_2_phuong,C35/45,7.08,4.08,0.17,10.36,1278,7.761,18.176
San_phang_Flat_Slab,C40/50,8.67,6.11,0.26,13.4,1279,53.239,25.013
Ban_ke_4_canh_2_phuong,C40/50,6.64,5.34,0.18,10.7,1280,13.73,16.512
San_o_co_Waffle_Slab,C40/50,11.25,9.36,0.44,11.37,1281,47.814,69.073
San_o_co_Waffle_Slab,C30/37,12.95,11.08,0.44,11.37,1282,67.001,91.525
San_o_co_Waffle_Slab,C20/25,15.73,10.65,0.4,10.7,1283,58.254,127.082
San_o_co_Waffle_Slab,C35/45,13.59,10.23,0.41,10.7,1284,53.75,94.856
San_phang_Flat_Slab,C40/50,12.04,8.48,0.21,11.71,1285,89.669,42.104
San_console_Cantilever,C35/45,5.82,1.58,0.13,9.01,1286,-11.246,-1.125
San_o_co_Waffle_Slab,C40/50,12.06,11.97,0.42,11.03,1287,75.859,77.004
Ban_ke_4_canh_2_phuong,C40/50,6.21,3.78,0.16,10.02,1288,6.443,13.524
San_console_Cantilever,C25/30,4.34,2.15,0.1,8.0,1289,-18.49,-1.849
Ban_dam_1_phuong,C40/50,7.43,3.07,0.14,9.35,1290,8.812,1.762
Ban_ke_4_canh_2_phuong,C30/37,5.07,4.72,0.16,10.02,1291,10.045,9.015
Ban_ke_4_canh_2_phuong,C40/50,9.05,4.78,0.13,9.01,1292,9.264,25.828
Ban_dam_1_phuong,C20/25,8.74,3.04,0.11,8.33,1293,7.698,1.54
Ban_dam_1_phuong,C40/50,12.24,3.86,0.12,8.67,1294,12.918,2.584
San_o_co_Waffle_Slab,C25/30,10.61,8.86,0.48,12.05,1295,45.404,65.112
San_console_Cantilever,C20/25,6.86,1.28,0.13,9.01,1296,-7.381,-0.738
San_console_Cantilever,C35/45,7.51,2.49,0.11,8.33,1297,-25.823,-2.582
